1081,Davie,North Carolina
1082,Granville,North Carolina
1083,Henderson,North Carolina
1084,Lee,North Carolina
1085,Nash,North Carolina
1086,Robeson,North Carolina
1087,Scotland,North Carolina
1088,Union,North Carolina
1089,Carroll,Ohio
1090,Clinton,Ohio
1091,Gallia,Ohio
1092,Greene,Ohio
1093,Hancock,Ohio
1094,Portage,Ohio
1095,Wood,Ohio
1096,Muskogee,Oklahoma
1097,Noble,Oklahoma
1098,Columbia,Pennsylvania
1099,Dauphin,Pennsylvania
1100,Fayette,Pennsylvania
1101,Mercer,Pennsylvania
1102,Schuylkill,Pennsylvania
1103,Colleton,South Carolina
1104,Brown,South Dakota
1105,Chester,Tennessee
1106,Franklin,Tennessee
1107,Gibson,Tennessee
1108,Houston,Tennessee
1109,Loudon,Tennessee
1110,Marion,Tennessee
1111,McMinn,Tennessee
1112,Perry,Tennessee
1113,Amherst,Virginia
1114,Bedford,Virginia
1115,Culpeper,Virginia
1116,Fluvanna,Virginia
1117,Lee,Virginia
